size	fuzzy	unit	function
820	99.04	Enemy/bosswanwan	execute__18TNerveBWJumpToBathCFP24TSpineBase<10TLiveActor>
816	99.98	GC2D/PauseMenu2	load__11TPauseMenu2FR20JSUMemoryInputStream
808	99.87	MarioUtil/ShadowUtil	request__19TMBindShadowManagerFRC20TCircleShadowRequestUl
804	99.96	System/Application	setupThreadFuncLogo__12TApplicationFv
800	99.95	GC2D/GCConsole2	startDisappearStar__11TGCConsole2Fv
800	99.94	Map/MapWarp	watchToWarp__8TMapWarpFv
800	99.76	Animal/Bird	execute__27TNerveAnimalBirdGraphWanderCFP24TSpineBase<10TLiveActor>
800	99.64	Enemy/enemy	doShortCut__11TSpineEnemyFv
796	99.97	GC2D/Talk2D2	checkControler__8TTalk2D2Fv
796	99.93	Player/MarioRun	slippingBasic__6TMarioFiii
796	99.72	Enemy/bosseel	init__10TBEelTearsFP12TLiveManager
796	99.62	Player/MarioMove	checkSink__6TMarioFv
784	99.99	JSystem/JParticle/JPAEmitter	calcCreateParticle__14JPABaseEmitterFv
780	99.85	Enemy/bosspakkun	move__10TBPPolDropFv
780	99.75	Enemy/BossHanachanMain	bind__13TBossHanachanFv
776	99.93	MoveBG/MapObjBase	makeObjAppeared__11TMapObjBaseFv
776	99.92	MoveBG/MapObjGeneral	receiveMessage__14TMapObjGeneralFP9THitActorUl
772	99.87	MoveBG/MapObjCloud	control__10TRideCloudFv
772	99.65	Enemy/smallEnemy	genEventCoin__11TSmallEnemyFv
772	99.59	MoveBG/MapObjCorona	perform__8TBathtubFUlPQ26JDrama9TGraphics
772	99.29	Enemy/Kumokun	init__12TWallAtGraphFPC9TGraphWebRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>
768	99.85	Enemy/hamukuri	execute__29TNerveHaneHamuKuriMoveOnGraphCFP24TSpineBase<10TLiveActor>
764	99.94	Player/MarioDraw	addDamageFog__6TMarioFPQ26JDrama9TGraphics
760	99.97	Enemy/fireWanwan	init__11TFireWanwanFP12TLiveManager
756	99.87	MoveBG/MapObjMonte	control__11TSwingBoardFv
756	99.56	Enemy/Koopa	stagger__6TKoopaFb
752	99.65	Map/Map	initMare__Fv
752	99.30	Map/MapStaticObject	perform__13TMapStaticObjFUlPQ26JDrama9TGraphics
744	99.96	Enemy/chuuhana	bind__9TChuuHanaFv
744	99.65	Enemy/hinokuri2	perform__10THino2MaskFUlPQ26JDrama9TGraphics
744	99.15	Enemy/bgtentacle	moveRequest__10TBGTakeHitFRCQ29JGeometry8TVec3<f>
732	99.91	Enemy/cannon	moveObject__7TCannonFv
728	99.98	Strategic/spcinterp	execsub__10TSpcInterpFv
728	99.98	Strategic/spcinterp	execmul__10TSpcInterpFv
728	99.98	Strategic/spcinterp	execdiv__10TSpcInterpFv
728	99.98	Strategic/spcinterp	execadd__10TSpcInterpFv
728	99.96	Enemy/Amenbo	bind__7TAmenboFv
