unit	function	pct	size	retail_frame	our_frame	gap	stackrows
mario/Enemy/limitkoopajr	TNerveLimitKoopaJrWait::execute(TSpineBase<TLiveActor>*) const	99.846	884	0xb0	0xb0	0x0	34
mario/GC2D/Menu	TMenuBase::perform(unsigned long, JDrama::TGraphics*)	99.868	152	0x118	0x118	0x0	5
mario/GC2D/GCConsole2	TGCConsole2::endCameraDemo()	99.863	612	0xc0	0xa0	0x20	21
mario/GC2D/GCConsole2	TGCConsole2::startInsertLife(int)	99.762	1212	0x2e8	0x2e0	0x8	72
mario/GC2D/GCConsole2	TGCConsole2::startAppearLife(int)	99.815	1384	0x2c8	0x2c8	0x0	64
mario/GC2D/GCConsole2	TGCConsole2::processMoveNozzle()	99.575	320	0xa8	0x60	0x48	34
mario/GC2D/Talk2D2	TTalk2D2::loadAfter()	99.788	1412	0x1e8	0x1d0	0x18	75
mario/GC2D/Talk2D2	TTalk2D2::openTalkWindow(TBaseNPC*)	99.857	532	0x98	0x60	0x38	19
mario/GC2D/Talk2D2	TTalk2D2::checkBoardControler()	99.873	440	0x70	0x38	0x38	14
mario/GC2D/Talk2D2	TTalk2D2::checkControler()	99.975	796	0xa8	0x40	0x68	5
mario/GC2D/PauseMenu2	TPauseMenu2::setDrawStart()	99.966	464	0xb8	0xb8	0x0	4
mario/GC2D/CardLoad	TCardLoad::perform(unsigned long, JDrama::TGraphics*)	99.937	3624	0x380	0x318	0x68	57
mario/GC2D/CardLoad	TCardLoad::changeScene()	99.959	5956	0x1e0	0x178	0x68	61
mario/GC2D/SelectDir	TSelectDir::direct()	99.831	708	0xd0	0x50	0x80	30
mario/GC2D/SelectShine2	TSelectShine::TSelectShine(J3DModelData*, J3DAnmColor*, JPAEmitterManager*, JGeometry::TVec3<float>&, short, unsigned char, float, float, float)	99.828	696	0x108	0xd8	0x30	30
mario/GC2D/hx_wiper	Hx_Test5	99.821	1272	0x110	0x108	0x8	57
mario/GC2D/Option	TOptionControl::movementOption()	99.963	536	0xa0	0xa0	0x0	5
mario/GC2D/Option	TOptionControl::checkInput()	99.981	1076	0xc8	0x70	0x58	5
mario/Map/Map	initMonte()	99.795	448	0xe8	0x98	0x50	23
mario/Map/Map	initMare()	99.654	752	0x148	0x130	0x18	65
mario/Map/Map	initStageCommon()	99.636	736	0x1d0	0x158	0x78	67
mario/Map/Map	initStage()	99.935	432	0x70	0x38	0x38	7
mario/Map/Map	TMap::update()	99.941	612	0x110	0x70	0xa0	9
mario/Map/Map	TMap::isTouchedOneWall(float, float, float, float) const	99.861	144	0x68	0x68	0x0	5
mario/Map/MapCheck	TMapCollisionData::checkRoof(float, float, float, unsigned char, const TBGCheckData**) const	99.954	348	0x90	0x90	0x0	4
mario/Map/MapEventSink	TMapEventSinkInPollution::loadAfter()	99.763	152	0xb8	0xa0	0x18	9
mario/Map/MapEventSink	TMapEventSinkInPollutionReset::loadAfter()	99.883	308	0x158	0x120	0x38	9
