caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
0	mario/Enemy/TabePuku	prepareDive__9TTabePukuFv	132	104	28	
0	mario/Enemy/beam	drawAllBeam__12TBeamManagerFv	280	288	-8	
0	mario/Enemy/bgtentacle	returnToDefaultState__11TBGTentacleFv	4	64	-60	
0	mario/Enemy/bgtentacle	canTake__11TBGTentacleCFv	4	60	-56	
0	mario/Enemy/bgtentacle	isAttacking__11TBGTentacleCFv	4	116	-112	
0	mario/Enemy/bgtentacle	disableAttackCheck__10TBGTakeHitFv	4	16	-12	
0	mario/Enemy/bgtentacle	enableAttackCheck__10TBGTakeHitFv	4	16	-12	
0	mario/Enemy/bossManta	createEnemy__17TBossMantaManagerFv	236	248	-12	
0	mario/Enemy/bossManta	__ct__29TBossMantaAdditionalCollisionFPCc	296	276	20	
0	mario/Enemy/bosseel	quickBack__8TBossEelFv	220	232	-12	
0	mario/Enemy/bosseel	isEyeBlurOn__8TBossEelFv	4	8	-4	
0	mario/Enemy/bosseel	setBckAnm__11TBossEelEyeFi	164	160	4	
0	mario/Enemy/bosspakkun	initJParticle__18TBossPakkunManagerFv	628	640	-12	
0	mario/Enemy/bosspakkun	resetWaterMark__11TBossPakkunFv	152	164	-12	
0	mario/Enemy/bosstelesa	checkSlot__11TBossTelesaFv	4	212	-208	
0	mario/Enemy/bosstelesa	fruitCollisionOn__11TBossTelesaFv	140	136	4	
0	mario/Enemy/bosstelesa	checkSlotResult__11TBossTelesaFv	160	76	84	
0	mario/Enemy/bosstelesa	slotStop__11TBossTelesaFv	276	168	108	
0	mario/Enemy/bosstelesa	slotStart__11TBossTelesaFv	204	64	140	
0	mario/Enemy/bosstelesa	isInDamage__11TBossTelesaFv	8	140	-132	
0	mario/Enemy/bosstelesa	openWaterPlace__11TBossTelesaFv	4	44	-40	
0	mario/Enemy/bosstelesa	checkMessage__11TBossTelesaFP9THitActorUl	592	588	4	
0	mario/Enemy/bosstelesa	prepareGenerate__11TBossTelesaFv	4	472	-468	
0	mario/Enemy/bosstelesa	entryObjCollision__11TTelesaSlotFv	4	88	-84	
0	mario/Enemy/bosstelesa	calcObjCollision__11TTelesaSlotFv	4	412	-408	
0	mario/Enemy/bosswanwan	rollNextGraphNode__11TBossWanwanFv	352	336	16	
0	mario/Enemy/bosswanwan	reverseNextGraphNode__11TBossWanwanFv	200	204	-4	
0	mario/Enemy/bosswanwan	isTailBurning__11TBossWanwanFv	56	52	4	
0	mario/Enemy/bosswanwan	isBurning__11TBossWanwanFv	20	24	-4	
0	mario/Enemy/bosswanwan	takeBath__11TBossWanwanFv	636	388	248	
0	mario/Enemy/cannon	killShootAct__7TCannonFv	16	60	-44	
0	mario/Enemy/cannon	damage__7TCannonFv	316	280	36	
0	mario/Enemy/chuuhana	getEffectMtx__9TChuuHanaFv	28	280	-252	
0	mario/Enemy/chuuhana	eventKill__9TChuuHanaFv	56	76	-20	
0	mario/Enemy/chuuhana	entryCollision__9TChuuHanaFv	16	68	-52	
0	mario/Enemy/chuuhana	checkOnPanel__9TChuuHanaFv	340	328	12	
0	mario/Enemy/chuuhana	forceRoll__9TChuuHanaFv	232	196	36	
0	mario/Enemy/conductor	clipGenerators__10TConductorFPQ26JDrama9TGraphics	4	196	-192	
0	mario/Enemy/conductor	maskNFlagOfChildren__10TConductorFiUl	4	360	-356	
0	mario/Enemy/conductor	conduct__10TConductorFv	4	48	-44	
0	mario/Enemy/conductor	polluterExterminated__10TConductorFv	4	228	-224	
0	mario/Enemy/effectEnemy	emitEffect__12TEffectEnemyFv	4	244	-240	
0	mario/Enemy/effectObj	generateEffect__17TEffectObjManagerF3Vec	4	160	-156	
0	mario/Enemy/elecNokonoko	move__13TElecCarapaceFv	96	148	-52	
0	mario/Enemy/elecNokonoko	setZigParameter__13TElecCarapaceFv	320	352	-32	
0	mario/Enemy/elecNokonoko	recoverCarapace__13TElecNokonokoFv	120	292	-172	
0	mario/Enemy/elecNokonoko	isDeadByThunder__13TElecNokonokoFv	200	224	-24	
0	mario/Enemy/elecNokonoko	forceCatchReady__13TElecNokonokoFv	368	348	20	
0	mario/Enemy/elecNokonoko	isCatchReady__13TElecNokonokoFv	264	140	124	
0	mario/Enemy/elecNokonoko	isShootReady__13TElecNokonokoFv	140	108	32	
0	mario/Enemy/elecNokonoko	shootIn__13TElecNokonokoFv	164	68	96	
0	mario/Enemy/elecNokonoko	catchIn__13TElecNokonokoFv	144	80	64	
0	mario/Enemy/elecNokonoko	createNokonokoThunder__FQ29JGeometry8TVec3<f>	52	96	-44	
0	mario/Enemy/emario	execKill__7TEMarioFv	4	84	-80	
